16,6,3 ,100 ,  103 ,  101
18,6,1 ,166 ,  83 ,  34
19,6,273 ,100 ,  103 ,  101
23,6,65535 ,21 ,  21 ,  21
31,6,17 ,100 ,  103 ,  101
32,6,1 ,166 ,  83 ,  34
33,6,1 ,0 ,  175 ,  77
35,6,1 ,100 ,  103 ,  101
36,6,3 ,0 ,  74 ,  45
38,6,15 ,100 ,  103 ,  101
42,6,1 ,0 ,  175 ,  77
43,6,17 ,100 ,  103 ,  101
46,6,1 ,166 ,  83 ,  34
47,6,1 ,100 ,  103 ,  101
48,6,3 ,0 ,  175 ,  77
50,6,1 ,100 ,  103 ,  101
51,6,1 ,166 ,  83 ,  34
52,6,1 ,100 ,  103 ,  101
53,6,1 ,0 ,  175 ,  77
55,6,1 ,100 ,  103 ,  101
56,6,1 ,166 ,  83 ,  34
57,6,1 ,100 ,  103 ,  101
58,6,1 ,160 ,  161 ,  159
59,6,7 ,166 ,  83 ,  34
0,7,1 ,100 ,  103 ,  101
1,7,3 ,0 ,  175 ,  77
3,7,1 ,100 ,  103 ,  101
4,7,1 ,0 ,  175 ,  77
5,7,1 ,166 ,  83 ,  34
6,7,1 ,0 ,  175 ,  77
7,7,3 ,166 ,  83 ,  34
9,7,17 ,100 ,  103 ,  101
10,7,1 ,247 ,  209 ,  18
11,7,15 ,166 ,  83 ,  34
15,7,1 ,166 ,  83 ,  34
16,7,7 ,100 ,  103 ,  101
20,7,1 ,166 ,  83 ,  34
21,7,1 ,0 ,  74 ,  45
22,7,17 ,21 ,  21 ,  21
32,7,3 ,244 ,  244 ,  244
34,7,3 ,160 ,  161 ,  159
36,7,15 ,100 ,  103 ,  101
40,7,1 ,0 ,  175 ,  77
41,7,273 ,100 ,  103 ,  101
42,7,1 ,0 ,  74 ,  45
44,7,1 ,0 ,  74 ,  45
45,7,1 ,166 ,  83 ,  34
46,7,1 ,100 ,  103 ,  101
47,7,3 ,166 ,  83 ,  34
49,7,1 ,100 ,  103 ,  101
50,7,1 ,166 ,  83 ,  34
51,7,1 ,100 ,  103 ,  101
52,7,17 ,0 ,  175 ,  77
53,7,51 ,166 ,  83 ,  34
55,7,3 ,100 ,  103 ,  101
57,7,1 ,166 ,  83 ,  34
58,7,1 ,100 ,  103 ,  101
59,7,7 ,166 ,  83 ,  34
62,7,3 ,100 ,  103 ,  101
0,8,1 ,0 ,  175 ,  77
1,8,3 ,100 ,  103 ,  101
3,8,7 ,0 ,  175 ,  77
6,8,3 ,166 ,  83 ,  34
8,8,1 ,100 ,  103 ,  101
10,8,1 ,100 ,  103 ,  101
11,8,3 ,166 ,  83 ,  34
13,8,1 ,100 ,  103 ,  101
14,8,1 ,166 ,  83 ,  34
15,8,15 ,100 ,  103 ,  101
20,8,17 ,0 ,  74 ,  45
21,8,1 ,21 ,  21 ,  21
30,8,1 ,100 ,  103 ,  101
31,8,1 ,0 ,  153 ,  212
32,8,1 ,0 ,  108 ,  183
33,8,7 ,244 ,  244 ,  244
36,8,1 ,0 ,  153 ,  212
37,8,1 ,0 ,  74 ,  45
38,8,3 ,0 ,  175 ,  77
40,8,1 ,0 ,  74 ,  45
42,8,17 ,0 ,  74 ,  45
