43,1,1 ,166 ,  83 ,  34
44,1,1 ,0 ,  74 ,  45
45,1,1 ,247 ,  209 ,  18
46,1,1 ,21 ,  21 ,  21
47,1,1 ,100 ,  103 ,  101
48,1,3 ,252 ,  195 ,  158
50,1,1 ,100 ,  103 ,  101
51,1,1 ,21 ,  21 ,  21
52,1,1 ,0 ,  74 ,  45
53,1,1 ,221 ,  196 ,  142
55,1,1 ,21 ,  21 ,  21
56,1,1 ,166 ,  83 ,  34
57,1,3 ,100 ,  103 ,  101
59,1,1 ,0 ,  74 ,  45
60,1,1 ,247 ,  209 ,  18
61,1,1 ,244 ,  244 ,  244
63,1,1 ,221 ,  196 ,  142
0,2,1 ,0 ,  74 ,  45
1,2,1 ,21 ,  21 ,  21
2,2,3 ,244 ,  244 ,  244
4,2,1 ,252 ,  195 ,  158
5,2,1 ,21 ,  21 ,  21
6,2,1 ,166 ,  83 ,  34
7,2,1 ,247 ,  209 ,  18
9,2,1 ,100 ,  103 ,  101
10,2,15 ,21 ,  21 ,  21
14,2,15 ,244 ,  244 ,  244
18,2,3 ,244 ,  244 ,  244
21,2,3 ,244 ,  244 ,  244
23,2,17 ,166 ,  83 ,  34
24,2,1 ,247 ,  209 ,  18
25,2,15 ,244 ,  244 ,  244
29,2,3 ,247 ,  209 ,  18
31,2,1 ,166 ,  83 ,  34
32,2,1 ,247 ,  209 ,  18
34,2,1 ,247 ,  209 ,  18
36,2,1 ,166 ,  83 ,  34
37,2,1 ,247 ,  209 ,  18
38,2,273 ,166 ,  83 ,  34
39,2,17 ,247 ,  209 ,  18
40,2,1 ,244 ,  244 ,  244
41,2,1 ,221 ,  196 ,  142
42,2,1 ,0 ,  74 ,  45
43,2,1 ,247 ,  209 ,  18
44,2,1 ,166 ,  83 ,  34
45,2,1 ,244 ,  244 ,  244
46,2,1 ,0 ,  74 ,  45
47,2,3 ,166 ,  83 ,  34
49,2,7 ,0 ,  74 ,  45
52,2,1 ,247 ,  209 ,  18
53,2,1 ,160 ,  161 ,  159
55,2,1 ,247 ,  209 ,  18
56,2,273 ,21 ,  21 ,  21
57,2,1 ,160 ,  161 ,  159
58,2,17 ,100 ,  103 ,  101
59,2,1 ,244 ,  244 ,  244
60,2,1 ,0 ,  74 ,  45
61,2,1 ,247 ,  209 ,  18
62,2,3 ,244 ,  244 ,  244
0,3,1 ,21 ,  21 ,  21
1,3,51 ,100 ,  103 ,  101
3,3,1 ,21 ,  21 ,  21
4,3,51 ,247 ,  209 ,  18
6,3,1 ,21 ,  21 ,  21
7,3,1 ,100 ,  103 ,  101
8,3,1 ,247 ,  209 ,  18
9,3,1 ,21 ,  21 ,  21
10,3,1 ,247 ,  209 ,  18
11,3,1 ,100 ,  103 ,  101
12,3,1 ,244 ,  244 ,  244
13,3,1 ,100 ,  103 ,  101
14,3,3 ,244 ,  244 ,  244
16,3,1 ,100 ,  103 ,  101
17,3,7 ,244 ,  244 ,  244
20,3,1 ,100 ,  103 ,  101
21,3,1 ,160 ,  161 ,  159
22,3,1 ,252 ,  195 ,  158
24,3,1 ,244 ,  244 ,  244
25,3,1 ,247 ,  209 ,  18
26,3,1 ,244 ,  244 ,  244
27,3,3 ,247 ,  209 ,  18
29,3,17 ,244 ,  244 ,  244
30,3,1 ,166 ,  83 ,  34
31,3,7 ,247 ,  209 ,  18
34,3,1 ,166 ,  83 ,  34
35,3,3 ,0 ,  74 ,  45
37,3,273 ,247 ,  209 ,  18
40,3,1 ,100 ,  103 ,  101
41,3,1 ,247 ,  209 ,  18
42,3,1 ,221 ,  196 ,  142
43,3,15 ,166 ,  83 ,  34
47,3,1 ,166 ,  83 ,  34
